video_id,title,viewCount,likeCount,commentCount,publishedAt
MPECDuOUBEY,Why you should start YouTube even if no one watches…,42387,2473,336,2025-04-11T15:00:36Z
jP1uwBcpUeE,Watch this if you feel like you’re behind in life,59791,2262,114,2025-04-04T13:01:13Z
w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2025),43762,1456,174,2025-03-28T16:18:00Z
1G2ltEiSYBw,How to Make More Money in your Job,101775,3811,262,2025-03-25T16:40:00Z
6T-mgthXWzM,Watch this if you never have enough time,135167,4885,189,2025-03-18T14:00:09Z
