video_id,title,viewCount,likeCount,commentCount,publishedAt,publishDay
MPECDuOUBEY,Why you should start YouTube even if no one watches…,42387,2473,336,2025-04-11 15:00:36+00:00,Friday
jP1uwBcpUeE,Watch this if you feel like you’re behind in life,59791,2262,114,2025-04-04 13:01:13+00:00,Friday
w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2025),43762,1456,174,2025-03-28 16:18:00+00:00,Friday
1G2ltEiSYBw,How to Make More Money in your Job,101775,3811,262,2025-03-25 16:40:00+00:00,Tuesday
6T-mgthXWzM,Watch this if you never have enough time,135167,4885,189,2025-03-18 14:00:09+00:00,Tuesday
