video_id,title,viewCount,likeCount,commentCount,publishedAt
jP1uwBcpUeE,Watch this if you feel like you’re behind in life,49148,1962,101,2025-04-04T13:01:13Z
w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2025),40682,1370,170,2025-03-28T16:18:00Z
1G2ltEiSYBw,How to Make More Money as an Employee,97898,3678,259,2025-03-25T16:40:00Z
6T-mgthXWzM,Watch this if you never have enough time,132403,4814,187,2025-03-18T14:00:09Z
W-gYpWSGBmc,"If you hate your job, please watch this",175164,5096,258,2025-03-11T14:00:36Z
