video_id,title,viewCount,likeCount,commentCount,publishedAt,publishDay
jP1uwBcpUeE,Watch this if you feel like you’re behind in life,48994,1961,101,2025-04-04 13:01:13+00:00,Friday
w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2025),40661,1370,170,2025-03-28 16:18:00+00:00,Friday
1G2ltEiSYBw,How to Make More Money as an Employee,97810,3676,259,2025-03-25 16:40:00+00:00,Tuesday
6T-mgthXWzM,Watch this if you never have enough time,132381,4813,187,2025-03-18 14:00:09+00:00,Tuesday
W-gYpWSGBmc,"If you hate your job, please watch this",175154,5097,258,2025-03-11 14:00:36+00:00,Tuesday
